"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.094245955E0,-1.309979677E0,2.206906796E0,1.164439440E0,2.818227026E0
1.111176294E0,-9.156055450E-1,1.769509315E0,3.545071483E-1,2.023653145E0
1.128159041E0,-2.384501696E-1,1.486032486E0,1.308072805E-1,1.510715585E0
1.145090185E0,3.445441723E-1,2.555108070E0,7.086306810E-2,2.579207148E0
1.229765408E0,2.157594681E0,-6.770868301E-1,5.871915817E-2,2.262102854E0
1.246703592E0,6.366312504E-1,6.623077393E-1,1.772870541E0,1.996752575E0
1.263636890E0,-7.038375139E-1,1.101045609E0,2.290311575E0,2.636895104E0
1.280589273E0,-1.016229630E0,4.633436203E-1,5.053367615E0,5.175319722E0
1.297494252E0,-5.427983999E-1,1.622021198E0,4.968369007E-1,1.781131600E0
1.314440857E0,-5.499807596E-1,2.431963921E0,-3.789904118E-1,2.522015281E0
1.331378845E0,-6.986186504E-1,2.396836758E0,-2.155091763E0,3.298077465E0
1.348295298E0,-5.740749836E-2,2.984101772E0,-2.728186131E0,4.043656584E0
1.365254131E0,-8.295285702E-2,3.256338596E0,-5.260051489E-1,3.299591436E0
1.382192303E0,3.791985512E-1,3.547401428E-1,4.737175941E0,4.765550127E0
1.399176403E0,5.520302057E-1,1.950454712E-1,4.869211674E0,4.904284087E0
1.416083570E0,-8.581058383E-1,2.555065632E0,2.119490862E0,3.428840551E0
1.432987328E0,-3.303158998E0,4.214072227E0,-4.691309929E-1,5.374881208E0
1.449980543E0,-2.917181969E0,4.791162491E0,-6.611003876E-1,5.648207005E0
1.466897099E0,-2.093464613E0,4.831449509E0,-3.347789049E-1,5.276132614E0
1.483856002E0,-7.112529278E-1,4.301353931E0,-2.041444778E-1,4.364539075E0
1.500774042E0,4.833307266E-1,3.540094376E0,-2.098380327E-1,3.579093290E0
1.517727158E0,1.501819849E0,2.635494232E0,-2.308216095E-1,3.042132693E0
1.534674861E0,1.735249043E0,2.103775024E0,-1.551589370E-1,2.731489134E0
1.551617570E0,1.776412010E0,-3.445194244E0,-1.958525777E0,4.342905275E0
1.568536372E0,1.025348902E0,-5.930719376E-1,-3.097683907E0,3.316431859E0
1.585478268E0,8.853780627E-1,-6.548585892E-1,-2.117027760E0,2.386323662E0
1.602405341E0,5.392254591E-1,9.495868683E-1,-2.780345201E0,2.987105414E0
1.619345425E0,3.446924686E-2,1.491297722E0,-1.754972458E0,2.303277090E0
1.636281756E0,-2.814427018E-2,1.297714233E0,-1.512596726E0,1.993189200E0
1.653211719E0,3.402306437E-1,6.881122589E-1,-8.135420680E-1,1.118528528E0
1.670149687E0,4.955695868E-1,2.519760132E-1,-7.345516086E-1,9.212204905E-1
1.687087635E0,9.400382042E-1,-5.560398102E-1,-4.424861670E-1,1.178408292E0
1.704025055E0,1.404544353E0,-1.348596573E0,-1.902348995E-1,1.956437291E0
1.720962798E0,1.412665129E0,-1.792400360E0,-8.300461769E-1,2.428435396E0
1.737933695E0,1.784620404E0,-1.845274925E0,6.698235273E-1,2.653030926E0
1.754875428E0,1.510310173E0,-1.522891998E0,8.640104532E-1,2.312304245E0
1.771798920E0,6.465719342E-1,-9.153146744E-1,2.543631196E-1,1.149154827E0
1.788682700E0,4.449145198E-1,-8.466978073E-1,-1.824226677E-1,9.737166613E-1
1.805638246E0,1.288434267E-1,-5.473585129E-1,-9.717018604E-1,1.122678260E0
1.822576571E0,-1.139284372E-1,-6.190519333E-1,-1.210154533E0,1.364067073E0
1.839515302E0,-2.815884352E-2,-1.175757408E0,-1.211365581E0,1.688373470E0
1.856450503E0,3.662862480E-1,-1.819293976E0,-1.103000879E0,2.158843933E0
1.873388350E0,7.158874869E-1,-2.519055367E0,-6.174197197E-1,2.690602524E0
1.890338443E0,1.601529956E0,-3.822307587E0,-5.290479064E-1,4.177897219E0
1.907297582E0,2.510458708E0,-4.925430298E0,3.990380764E-1,5.542697712E0
1.924245468E0,2.196967125E0,-5.408820152E0,4.189279079E-1,5.852990738E0
1.941167190E0,2.546220303E0,-5.718258858E0,1.229427457E0,6.379123299E0
1.958126958E0,1.815933108E0,-5.400287628E0,5.815985203E-1,5.727039057E0
1.975074235E0,1.270805240E0,-4.352360725E0,5.641542673E-1,4.569054594E0
1.991966467E0,9.964606762E-1,-4.297148705E0,5.893738270E-1,4.450368791E0
2.008906429E0,2.227352262E-1,-3.862598419E0,-1.903557181E-1,3.873694984E0
2.025844510E0,2.442816496E-1,-3.948578835E0,-5.174146891E-1,3.989820334E0
2.042781817E0,6.796123981E-1,-4.221492767E0,-3.429206312E-1,4.289576757E0
2.059719907E0,1.214902401E0,-4.540106773E0,-5.035991073E-1,4.726750408E0
2.076657601E0,1.352124453E0,-4.511283875E0,2.597123384E-2,4.709628142E0
2.093624439E0,1.282501221E0,-4.446222305E0,3.328202963E-1,4.639447329E0
2.110556314E0,1.577340245E0,-4.477784157E0,2.527397871E-1,4.754201363E0
2.127494822E0,9.382221103E-1,-3.642652512E0,2.329707146E-2,3.761611463E0
2.144433024E0,1.938645363E0,-4.178130150E0,4.596824646E-1,4.628868691E0
2.161370484E0,5.084949732E-1,-2.878462791E0,2.964212894E-1,2.938023274E0
2.178312755E0,6.678851843E-1,-2.816442490E0,7.936877012E-1,3.001392857E0
2.195246482E0,4.917093754E0,-3.619067192E0,3.646710205E1,3.697465335E1
